instruction,e8mf8,e8mf4,e8mf2,e8m1,e8m2,e8m4,e8m8,e16mf8,e16mf4,e16mf2,e16m1,e16m2,e16m4,e16m8,e32mf8,e32mf4,e32mf2,e32m1,e32m2,e32m4,e32m8,e64mf8,e64mf4,e64mf2,e64m1,e64m2,e64m4,e64m8,
add,0.64,0.64,0.64,0.64,0.53,0.54,1.00,,0.64,0.64,0.64,0.53,0.54,1.00,,,0.64,0.64,0.53,0.54,1.00,,,,0.64,0.53,0.54,1.00,
mul,2.57,2.65,2.55,2.56,2.55,2.03,2.03,,2.55,2.64,2.56,2.57,2.05,2.04,,,2.56,2.57,2.57,2.04,2.03,,,,2.54,2.55,2.03,2.04,
vadd.vv,1.00,1.00,1.00,1.00,2.02,4.09,8.16,,1.00,1.00,1.00,2.03,4.09,8.15,,,1.00,1.00,2.02,4.10,8.16,,,,1.00,2.03,4.10,8.17,
vadd.vv,1.00,1.00,1.00,2.03,4.09,8.18,9.19,,1.00,1.00,2.03,4.10,8.16,16.38,,,1.00,2.03,4.10,8.17,16.36,,,,2.02,4.08,8.16,16.36,
vadd.vx,1.00,1.00,1.00,1.00,2.03,4.09,8.16,,1.00,1.00,1.00,2.03,4.08,8.16,,,1.00,1.00,2.03,4.10,8.17,,,,1.00,2.03,4.09,8.17,
vadd.vx,1.00,1.00,1.00,2.03,4.10,8.16,9.20,,1.00,1.00,2.02,4.09,8.17,16.36,,,1.00,2.03,4.10,8.16,16.37,,,,2.03,4.10,8.16,16.35,
vadd.vi,1.00,1.00,1.00,1.00,2.02,4.10,8.16,,1.00,1.00,1.00,2.03,4.09,8.16,,,1.00,1.00,2.03,4.10,8.17,,,,1.00,2.03,4.08,8.16,
vadd.vi,1.00,1.00,1.00,2.03,4.10,8.15,9.19,,1.00,1.00,2.03,4.10,8.17,16.37,,,1.00,2.03,4.09,8.15,16.36,,,,2.03,4.09,8.16,16.36,
vsub.vv,1.00,1.00,1.00,1.00,2.03,4.09,8.16,,1.00,1.00,1.00,2.03,4.09,8.15,,,1.00,1.00,2.03,4.10,8.16,,,,1.00,2.03,4.10,8.16,
vsub.vv,1.00,1.00,1.00,2.03,4.09,8.16,9.19,,1.00,1.00,2.03,4.10,8.15,16.36,,,1.00,2.03,4.09,8.17,16.36,,,,2.02,4.10,8.16,16.35,
vsub.vx,1.00,1.00,1.00,1.00,2.02,4.10,8.16,,1.00,1.00,1.00,2.02,4.10,8.17,,,1.00,1.00,2.03,4.09,8.16,,,,1.00,2.02,4.10,8.17,
vsub.vx,1.00,1.00,1.00,2.03,4.09,8.15,9.19,,1.00,1.00,2.03,4.10,8.17,16.36,,,1.00,2.03,4.08,8.15,16.35,,,,2.03,4.10,8.16,16.35,
vrsub.vx,1.00,1.00,1.00,1.00,2.03,4.10,8.17,,1.00,1.00,1.00,2.02,4.09,8.16,,,1.00,1.00,2.03,4.10,8.15,,,,1.00,2.03,4.09,8.16,
vrsub.vx,1.00,1.00,1.00,2.03,4.09,8.16,9.21,,1.00,1.00,2.02,4.09,8.15,16.36,,,1.00,2.03,4.10,8.17,16.35,,,,2.03,4.09,8.17,16.35,
vrsub.vi,1.00,1.01,1.00,1.00,2.03,4.09,8.15,,1.00,1.00,1.00,2.03,4.10,8.16,,,1.00,1.00,2.02,4.10,8.18,,,,1.00,2.03,4.10,8.16,
vrsub.vi,1.00,1.00,1.00,2.02,4.10,8.16,9.19,,1.00,1.00,2.03,4.10,8.16,16.36,,,1.00,2.03,4.08,8.16,16.36,,,,2.03,4.09,8.16,16.36,
vminu.vv,1.00,1.00,1.00,1.00,2.03,4.09,8.17,,1.00,1.00,1.00,2.03,4.09,8.16,,,1.00,1.00,2.02,4.10,8.16,,,,1.00,2.03,4.10,8.16,
vminu.vv,1.00,1.00,1.00,2.02,4.10,8.16,9.19,,1.00,1.01,2.03,4.09,8.16,16.35,,,1.00,2.03,4.10,8.17,16.35,,,,2.02,4.09,8.15,16.37,
vminu.vx,1.00,1.00,1.00,1.00,2.03,4.10,8.16,,1.00,1.00,1.00,2.02,4.10,8.16,,,1.00,1.00,2.03,4.09,8.16,,,,1.00,2.03,4.10,8.16,
vminu.vx,1.00,1.00,1.00,2.03,4.09,8.17,9.19,,1.00,1.00,2.03,4.10,8.16,16.36,,,1.00,2.03,4.10,8.15,16.35,,,,2.02,4.09,8.17,16.36,
vmin.vv,1.00,1.00,1.00,1.00,2.02,4.09,8.17,,1.00,1.00,1.00,2.03,4.08,8.16,,,1.00,1.00,2.03,4.10,8.15,,,,1.00,2.03,4.08,8.16,
vmin.vv,1.00,1.00,1.00,2.03,4.10,8.15,9.20,,1.00,1.00,2.02,4.09,8.16,16.35,,,1.00,2.03,4.10,8.17,16.36,,,,2.03,4.09,8.17,16.36,
vmin.vx,1.00,1.00,1.00,1.00,2.03,4.09,8.16,,1.00,1.00,1.00,2.03,4.10,8.16,,,1.00,1.00,2.02,4.10,8.17,,,,1.00,2.03,4.09,8.16,
vmin.vx,1.00,1.00,1.00,2.02,4.10,8.16,9.19,,1.00,1.00,2.03,4.09,8.16,16.36,,,1.00,2.02,4.10,8.16,16.35,,,,2.03,4.10,8.16,16.36,
vmaxu.vv,1.00,1.00,1.00,1.00,2.03,4.10,8.16,,1.00,1.00,1.00,2.03,4.10,8.16,,,1.01,1.00,2.03,4.10,8.16,,,,1.00,2.02,4.10,8.16,
vmaxu.vv,1.00,1.00,1.00,2.03,4.10,8.16,9.19,,1.00,1.00,2.03,4.10,8.16,16.36,,,1.00,2.02,4.09,8.16,16.35,,,,2.03,4.10,8.16,16.36,
vmaxu.vx,1.00,1.00,1.00,1.00,2.02,4.10,8.17,,1.00,1.00,1.00,2.03,4.09,8.16,,,1.00,1.00,2.03,4.09,8.16,,,,1.00,2.02,4.09,8.16,
vmaxu.vx,1.00,1.00,1.00,2.03,4.10,8.16,9.19,,1.00,1.00,2.02,4.09,8.16,16.36,,,1.00,2.03,4.10,8.15,16.36,,,,2.03,4.08,8.15,16.35,
vmax.vv,1.00,1.00,1.00,1.00,2.03,4.09,8.16,,1.00,1.00,1.00,2.02,4.10,8.16,,,1.00,1.00,2.02,4.09,8.16,,,,1.00,2.02,4.10,8.16,
vmax.vv,1.00,1.00,1.00,2.02,4.10,8.17,9.20,,1.00,1.00,2.03,4.09,8.16,16.36,,,1.00,2.02,4.09,8.17,16.35,,,,2.02,4.10,8.17,16.36,
vmax.vx,1.00,1.00,1.00,1.00,2.02,4.09,8.16,,1.00,1.00,1.00,2.02,4.08,8.16,,,1.00,1.00,2.02,4.09,8.17,,,,1.00,2.03,4.08,8.16,
vmax.vx,1.00,1.00,1.00,2.03,4.10,8.15,9.21,,1.00,1.00,2.02,4.09,8.17,16.35,,,1.00,2.02,4.09,8.16,16.36,,,,2.03,4.09,8.16,16.35,
vand.vv,1.00,1.00,1.00,2.03,4.09,8.16,16.36,,1.00,1.00,2.03,4.10,8.16,16.35,,,1.00,2.03,4.10,8.16,16.35,,,,2.03,4.08,8.17,16.35,
vand.vv,1.02,1.00,1.00,2.03,4.10,8.16,16.36,,1.00,1.00,2.03,4.09,8.16,16.36,,,1.00,2.03,4.10,8.17,16.35,,,,2.03,4.09,8.16,16.35,
vand.vx,1.00,1.00,1.00,2.03,4.10,8.16,16.35,,1.00,1.00,2.03,4.09,8.16,16.35,,,1.00,2.02,4.10,8.16,16.36,,,,2.03,4.09,8.16,16.36,
vand.vx,1.00,1.00,1.00,2.02,4.10,8.16,16.36,,1.00,1.00,2.03,4.10,8.16,16.37,,,1.00,2.03,4.10,8.15,16.35,,,,2.04,4.09,8.16,16.36,
vand.vi,1.00,1.00,1.00,2.03,4.10,8.16,16.35,,1.00,1.00,2.02,4.10,8.17,16.35,,,1.00,2.03,4.10,8.16,16.36,,,,2.02,4.09,8.16,16.35,
vand.vi,1.00,1.00,1.00,2.02,4.09,8.17,16.34,,1.00,1.00,2.03,4.10,8.15,16.35,,,1.00,2.03,4.10,8.15,16.36,,,,2.02,4.08,8.17,16.35,
vor.vv,1.00,1.00,1.00,2.03,4.09,8.16,16.36,,1.00,1.00,2.02,4.10,8.15,16.35,,,1.00,2.02,4.10,8.16,16.36,,,,2.03,4.09,8.16,16.37,
vor.vv,1.00,1.00,1.00,2.03,4.10,8.16,16.36,,1.00,1.00,2.01,4.10,8.16,16.35,,,1.00,2.03,4.09,8.16,16.37,,,,2.02,4.09,8.17,16.36,
vor.vx,1.00,1.00,1.00,2.03,4.09,8.15,16.35,,1.00,1.00,2.02,4.10,8.16,16.35,,,1.00,2.03,4.09,8.16,16.36,,,,2.03,4.08,8.16,16.36,
vor.vx,1.00,1.00,1.00,2.03,4.10,8.15,16.36,,1.00,1.00,2.02,4.09,8.16,16.35,,,1.00,2.03,4.09,8.16,16.36,,,,2.02,4.10,8.18,16.36,
vor.vi,1.00,1.00,1.00,2.02,4.09,8.16,16.37,,1.00,1.00,2.03,4.10,8.16,16.37,,,1.00,2.02,4.08,8.17,16.34,,,,2.03,4.10,8.17,16.35,
vor.vi,1.00,1.00,1.00,2.02,4.09,8.15,16.35,,1.00,1.00,2.03,4.09,8.16,16.36,,,1.00,2.02,4.09,8.17,16.36,,,,2.03,4.10,8.15,16.36,
vxor.vv,1.00,1.00,1.00,2.02,4.10,8.17,16.34,,1.00,1.00,2.03,4.08,8.16,16.35,,,1.00,2.02,4.10,8.16,16.35,,,,2.03,4.10,8.16,16.36,
vxor.vv,1.00,1.00,1.00,2.03,4.10,8.16,16.35,,1.00,1.00,2.02,4.10,8.16,16.36,,,1.00,2.03,4.10,8.17,16.35,,,,2.03,4.09,8.16,16.38,
vxor.vx,1.00,1.00,1.00,2.03,4.10,8.15,16.35,,1.00,1.00,2.03,4.09,8.17,16.35,,,1.00,2.03,4.10,8.16,16.36,,,,2.03,4.09,8.16,16.38,
vxor.vx,1.00,1.00,1.00,2.02,4.10,8.16,16.36,,1.00,1.00,2.02,4.10,8.17,16.35,,,1.00,2.03,4.08,8.16,16.36,,,,2.03,4.10,8.15,16.35,
vxor.vi,1.00,1.00,1.00,2.02,4.09,8.15,16.36,,1.00,1.00,2.02,4.10,8.17,16.35,,,1.00,2.03,4.09,8.15,16.35,,,,2.03,4.09,8.15,16.36,
vxor.vi,1.00,1.00,1.00,2.03,4.08,8.17,16.35,,1.00,1.00,2.02,4.10,8.17,16.35,,,1.00,2.02,4.09,8.15,16.36,,,,2.03,4.09,8.16,16.35,
vrgather.vv,1.00,1.00,1.00,4.08,16.36,65.44,261.89,,1.00,1.00,4.10,16.35,65.46,261.89,,,1.00,4.09,16.35,65.48,261.92,,,,4.09,16.36,65.47,261.96,
vrgather.vv,1.00,1.00,1.00,4.09,16.36,65.45,261.88,,1.00,1.00,4.10,16.36,65.46,261.87,,,1.00,4.10,16.36,65.45,261.86,,,,4.10,16.35,65.46,261.91,
vrgather.vx,1.00,1.00,1.00,2.03,4.10,8.16,16.35,,1.00,1.00,2.03,4.10,8.17,16.36,,,1.00,2.03,4.10,8.15,16.36,,,,2.05,4.08,8.16,16.36,
vrgather.vx,1.00,1.00,1.00,2.03,4.10,8.17,16.35,,1.00,1.00,2.02,4.09,8.16,16.35,,,1.00,2.02,4.10,8.15,16.36,,,,2.02,4.09,8.16,16.35,
vrgather.vi,1.00,1.00,1.00,2.03,4.10,8.16,16.36,,1.00,1.00,2.02,4.10,8.16,16.36,,,1.00,2.03,4.09,8.16,16.37,,,,2.02,4.08,8.16,16.36,
vrgather.vi,1.00,1.00,1.00,2.03,4.09,8.17,16.36,,1.00,1.00,2.02,4.09,8.16,16.36,,,1.00,2.02,4.09,8.16,16.35,,,,2.02,4.10,8.17,16.35,
vslideup.vx,1.00,1.00,1.00,2.03,4.08,8.16,16.36,,1.00,1.00,2.03,4.10,8.15,16.35,,,1.00,2.03,4.09,8.16,16.35,,,,2.02,4.10,8.17,16.36,
vslideup.vx,1.00,1.00,1.00,2.03,4.09,8.16,16.36,,1.00,1.00,2.02,4.10,8.16,16.37,,,1.00,2.03,4.09,8.17,16.38,,,,2.03,4.09,8.17,16.35,
vslideup.vi,1.00,1.00,1.00,2.03,4.09,8.16,16.35,,1.00,1.00,2.03,4.10,8.16,16.35,,,1.00,2.02,4.10,8.16,16.36,,,,2.03,4.10,8.17,16.36,
vslideup.vi,1.00,1.00,1.00,2.02,4.10,8.16,16.36,,1.00,1.00,2.02,4.10,8.17,16.35,,,1.00,2.03,4.08,8.17,16.36,,,,2.03,4.10,8.15,16.35,
